Occ_ID,IT_Occupation,Detailed_Abilities
IT.13.TML.04,Chief Technology Officer,excellent written and verbal communication skill
IT.05.ERPM.05,Sme Crm,excellent written and oral communication skill
IT.05.ERPM.04,Lead Consultant Crm,excellent communication skill both written and verbal
IT.05.ERPM.04,Lead Consultant Crm,strong analytical and problem problem solving skill
IT.05.ERPM.04,Lead Consultant Crm,excellent stakeholder management skill and
IT.05.ERPM.04,Lead Consultant Crm,strong communication and interpersonal skill
IT.05.ERPM.04,Lead Consultant Crm,team player with good interpersonal and communication skill
IT.05.ERPM.04,Lead Consultant Crm,strong communication and presentation skill
IT.05.ERPM.04,Lead Consultant Crm,strong leadership interpersonal communication and presentation skill
IT.05.ERPM.04,Lead Consultant Crm,good interpersonal communication and presentation skill
IT.05.ERPM.04,Lead Consultant Crm,strong verbal and written communication
IT.05.ERPM.04,Lead Consultant Crm,outstanding interpersonal communication and problem solving skill
IT.05.ERPM.04,Lead Consultant Crm,good time management and organizational skill
IT.05.ERPM.04,Lead Consultant Crm,strong project management skill and development skill
IT.14.UE.00,Design Engineer Or Ux Engineer,excellent written and oral communication skill
IT.14.UE.00,Design Engineer Or Ux Engineer,strong analytical and problem solving skill
IT.14.UE.00,Design Engineer Or Ux Engineer,good team player with strong interpersonal skill and open communication
IT.14.UE.00,Design Engineer Or Ux Engineer,effective communication skill in written and spoken english
IT.14.UE.00,Design Engineer Or Ux Engineer,good communication and presentation skill
IT.14.UE.00,Design Engineer Or Ux Engineer,excellent interpersonal and teamwork skill
IT.14.UE.00,Design Engineer Or Ux Engineer,good communication skill keen to learn and a team player
IT.13.TML.00,Program Manager,excellent communication skill both written and verbal
IT.13.TML.00,Program Manager,strong analytical conceptualization and problem solving skill
IT.13.TML.00,Program Manager,good communication skill with the ability to relate to stakeholder at different level and strong vendor management skill both verbal and non verbal are a must
IT.13.TML.00,Program Manager,effective communication and presentation skill
IT.13.TML.00,Program Manager,strong project management and organisational skill
IT.13.TML.00,Program Manager,good team player with good communication and interpersonal skill
IT.13.TML.00,Program Manager,excellent time management and prioritizing skill
IT.13.TML.00,Program Manager,team player with ability to work independently and with initiative
IT.13.TML.00,Program Manager,strong critical thinking problem solving decision making skill
IT.13.TML.00,Program Manager,strong interpersonal communication skill
IT.13.TML.00,Program Manager,strong communication interpersonal and analytical skill
IT.13.TML.00,Program Manager,good communication and team management skill
IT.13.TML.00,Program Manager,outstanding communication and interpersonal skill
IT.13.TML.00,Program Manager,strong written and verbal communication
IT.13.TML.00,Program Manager,good communication skill and a team player
IT.13.TML.00,Program Manager,strong interpersonal and customer service skill
IT.13.TML.00,Program Manager,fluent in both verbal and written english
IT.13.TML.00,Program Manager,excellent organizational and coordination skill
IT.13.TML.00,Program Manager,posse strong interpersonal and communication skill
IT.13.TML.00,Program Manager,good problem solving and troubleshooting skill
IT.13.TML.00,Program Manager,good negotiation and interpersonal skill
IT.13.TML.00,Program Manager,motivated individual and good team player
IT.13.TML.00,Program Manager,good planning and organizational skill
IT.13.TML.00,Program Manager,posse good interpersonal written and communication skill
IT.13.TML.00,Program Manager,good interpersonal organizational and facilitation skill to maintain relationship with key stakeholder
IT.13.TML.00,Program Manager,excellent written and spoken english
IT.13.TML.00,Program Manager,stakeholder relationship management
IT.13.TML.00,Program Manager,good interpersonal analytical and problem solving skill
IT.13.TML.00,Program Manager,excellent analytical and communication skill
IT.13.TML.00,Program Manager,outstanding organizational and leadership skill
IT.13.TML.00,Program Manager,strong communication interpersonal and presentation skill
IT.13.TML.00,Program Manager,excellent presentation and communication skill with client and colleague
IT.13.TML.00,Program Manager,strong communication presentation and negotiation skill
IT.13.TML.00,Program Manager,strong stakeholder management ability
IT.13.TML.00,Program Manager,team player with strong organization and people handling skill
IT.13.TML.00,Program Manager,strong analytical and organizational skill and attention to detail
IT.13.TML.00,Program Manager,managing communication with all stakeholder
IT.11.SD.01,Development Lead,strong oral and written communication skill
IT.11.SD.01,Development Lead,strong analytical and creative problem solving skill
IT.11.SD.01,Development Lead,team player with strong communication and interpersonal skill
IT.11.SD.01,Development Lead,excellent team work and collaboration skill
IT.11.SD.01,Development Lead,ability to work a part of team and independently
IT.11.SD.01,Development Lead,teamwork and excellent communication and interpersonal skill
IT.11.SD.01,Development Lead,strong organizational time management skill
IT.11.SD.01,Development Lead,strong communication and interpersonal skill
IT.11.SD.01,Development Lead,strong analytical and debugging skill
IT.11.SD.01,Development Lead,strong communication and team collaboration skill
IT.11.SD.01,Development Lead,ability to communicate clearly both in writing and verbally
IT.11.SD.01,Development Lead,good communication inter personnel skill is required
IT.11.SD.01,Development Lead,strong analytical and critical thinking skill
IT.06.IS.00,Cybersercurity Analyst,strong oral and written communication skill
IT.06.IS.00,Cybersercurity Analyst,strong problem solving and analytical skill
IT.06.IS.00,Cybersercurity Analyst,a good team player with strong interpersonal and communication skill
IT.06.IS.00,Cybersercurity Analyst,strong communication and presentation skill
IT.06.IS.00,Cybersercurity Analyst,strong interpersonal communication verbal and written organisation and analytical skill
IT.06.IS.00,Cybersercurity Analyst,posse effective written and oral communication skill
IT.06.IS.00,Cybersercurity Analyst,good analytical interpersonal and communication skill
IT.06.IS.00,Cybersercurity Analyst,interpersonal and stakeholder management skill
IT.02.AIBI.04,Machine Learning Lead,excellent interpersonal communication and presentation skill both written and verbal
IT.02.AIBI.04,Machine Learning Lead,posse strong analytical and problem solving skill
IT.02.AIBI.04,Machine Learning Lead,team player with strong communication and interpersonal skill
IT.02.AIBI.04,Machine Learning Lead,excellent communicator with great stakeholder management skill
IT.02.AIBI.04,Machine Learning Lead,strong presentation and communication skill
IT.02.AIBI.04,Machine Learning Lead,vp avp machine learning engineer ai industrialization group consumer banking and big data analytics technology technology operation wd19016
IT.02.AIBI.04,Machine Learning Lead,good project management and communication skill
IT.02.AIBI.04,Machine Learning Lead,strong communication and interpersonal people skill
IT.02.AIBI.04,Machine Learning Lead,ability to work independently and a part of a team
IT.02.AIBI.04,Machine Learning Lead,strong analytical and critical thinking skill
IT.02.AIBI.04,Machine Learning Lead,good organizational and time management skill
IT.02.AIBI.04,Machine Learning Lead,posse strong written and verbal communication skill
IT.02.AIBI.04,Machine Learning Lead,self motivated driven a good team player and ability to multi task and
IT.02.AIBI.04,Machine Learning Lead,mentor and lead junior team member
IT.02.AIBI.04,Machine Learning Lead,good organisational and strong interpersonal skill
IT.02.AIBI.04,Machine Learning Lead,strong analytical skill with the ability to collect organize and analyse significant amount of information with attention to detail and accuracy
IT.02.AIBI.04,Machine Learning Lead,excellent communication skill with the ability to instill confidence in potential and existing customer strong presentation skill with the ability to connect seamlessly with both business and technical audience
IT.02.AIBI.04,Machine Learning Lead,strong organizational and interpersonal skill
IT.02.AIBI.04,Machine Learning Lead,strong interpersonal communication skill
IT.02.AIBI.04,Machine Learning Lead,strong executive communication and presentation skill
IT.02.AIBI.04,Machine Learning Lead,excellent analytical and communication skill
IT.02.AIBI.04,Machine Learning Lead,strong analytical communication and interpersonal skill
IT.10.PDCS.01,Head Of Devops And Sre,excellent written and verbal communication skill
IT.12.TA.01,Principal Qa Engineer,good oral and written communication skill
IT.12.TA.01,Principal Qa Engineer,excellent analytical and problem solving skill
IT.12.TA.01,Principal Qa Engineer,good communication skill and ability to work in a team
IT.10.PDCS.03,Lead Engineer Cloud,strong written and verbal communication skill
IT.10.PDCS.03,Lead Engineer Cloud,strong problem solving and analytical skill
IT.10.PDCS.03,Lead Engineer Cloud,strong communication and presentation skill
IT.11.SD.03,Qa Engineer,excellent verbal written communication and analytical skill
IT.11.SD.03,Qa Engineer,strong analytical skill and problem solving skill
IT.11.SD.03,Qa Engineer,good communication skill and team player
IT.11.SD.03,Qa Engineer,team player with great interpersonal and communication skill
IT.11.SD.03,Qa Engineer,strong interpersonal skill with the ability to work both independently and a part of a team
IT.11.SD.03,Qa Engineer,ability to communicate clearly both in writing and verbally
IT.11.SD.03,Qa Engineer,good programming skill using c++ and python
IT.11.SD.03,Qa Engineer,excellent organization communication and interpersonal skill
IT.11.SD.03,Qa Engineer,strong communication interpersonal skill
IT.11.SD.03,Qa Engineer,analytical and posse good troubleshooting skill
IT.07.ITIA.04,Sme Systems,excellent written and verbal communication skill
IT.09.PPM.05,Director Of Engineering Or Vp Of Engineering,strong written and verbal communication skill
IT.09.PPM.05,Director Of Engineering Or Vp Of Engineering,stakeholder communication and management
IT.09.PPM.05,Director Of Engineering Or Vp Of Engineering,strong problem solving and analytical skill
IT.09.PPM.05,Director Of Engineering Or Vp Of Engineering,strong communication and negotiation skill
IT.09.PPM.05,Director Of Engineering Or Vp Of Engineering,strong communication and presentation skill
IT.09.PPM.05,Director Of Engineering Or Vp Of Engineering,excellent presentation negotiation and interpersonal skill
IT.09.PPM.05,Director Of Engineering Or Vp Of Engineering,strong decision making leadership ability and excellent communication skill
IT.09.PPM.01,Senior Product Manager Or Senior Marketing Manager,excellent communication skill both written and verbal
IT.09.PPM.01,Senior Product Manager Or Senior Marketing Manager,strong problem solving and analytical skill
IT.09.PPM.01,Senior Product Manager Or Senior Marketing Manager,excellent communication and stakeholder management skill
IT.09.PPM.01,Senior Product Manager Or Senior Marketing Manager,strong communication and presentation skill
IT.09.PPM.01,Senior Product Manager Or Senior Marketing Manager,strong project management and problem solving skill ability to overcome obstacle to complete project and deliver result
IT.10.PDCS.00,Devops Engineer Or Site Reliability Engineer,excellent communication skill both written and verbal
IT.10.PDCS.00,Devops Engineer Or Site Reliability Engineer,strong problem solving and analytical skill
IT.10.PDCS.00,Devops Engineer Or Site Reliability Engineer,good interpersonal and communication skill to interact effectively
IT.10.PDCS.00,Devops Engineer Or Site Reliability Engineer,teamwork and excellent communication and interpersonal skill
IT.10.PDCS.00,Devops Engineer Or Site Reliability Engineer,excellent communication skill and a team player
IT.14.UE.01,User Experience Lead,strong communication skill both verbal and written
IT.14.UE.01,User Experience Lead,excellent analytical and problem solving skill
IT.14.UE.01,User Experience Lead,strong communication interpersonal and presentation skill
IT.14.UE.01,User Experience Lead,excellent communication skill a team player
IT.14.UE.01,User Experience Lead,excellent presentation skill including oral and written communication skill
IT.05.ERPM.03,App Engineer Crm,good communication skill both verbal and written
IT.05.ERPM.03,App Engineer Crm,strong problem solving and analytical skill
IT.05.ERPM.03,App Engineer Crm,team player with good interpersonal and communication skill
IT.05.ERPM.03,App Engineer Crm,strong interpersonal and communication skill
IT.05.ERPM.03,App Engineer Crm,strong communication and presentation skill
IT.07.ITIA.01,Head Of It,excellent written and verbal communication skill
IT.07.ITIA.01,Head Of It,strong communication and presentation skill
IT.10.PDCS.00,Devops Lead Or Sre Lead,excellent communication skill both written and verbal
IT.10.PDCS.00,Devops Lead Or Sre Lead,strong analytical or troubleshooting skill
IT.10.PDCS.00,Devops Lead Or Sre Lead,excellent interpersonal skill with ability to communicate effectively with technical non technical and client
IT.10.PDCS.00,Devops Lead Or Sre Lead,team player with good interpersonal and communication skill
IT.10.PDCS.00,Devops Lead Or Sre Lead,strong communication and presentation skill
IT.10.PDCS.00,Devops Lead Or Sre Lead,excellent communication skill and effective team player
IT.11.SD.02,Architect Fullstack,strong written and verbal communication skill
IT.11.SD.02,Architect Fullstack,strong problem solving and analytical skill
IT.11.SD.02,Architect Fullstack,strong communication and interpersonal skill
IT.11.SD.02,Architect Fullstack,team player with good communication skill
IT.11.SD.02,Architect Fullstack,good communication interpersonal skill
IT.11.SD.02,Architect Fullstack,team player with strong communication and interpersonal skill
IT.09.PPM.00,Product Manager Or Marketing Manager,excellent written and verbal communication skill
IT.05.ERPM.02,Erp Architect,strong written and verbal communication skill
IT.05.ERPM.02,Erp Architect,strong analytical and problem solving skill
IT.05.ERPM.02,Erp Architect,strong communication and presentation skill
IT.05.ERPM.02,Erp Architect,s strong interpersonal and communication skill
IT.06.IS.02,Cybersecurity Architect Or Head Cybersecurity,excellent written and verbal communication skill
IT.06.IS.02,Cybersecurity Architect Or Head Cybersecurity,strong analytical problem solving and interpersonal skill
IT.02.AIBI.05,Ai Architect,strong written and oral communication skill
IT.02.AIBI.05,Ai Architect,strong analytical and problem solving skill
IT.02.AIBI.05,Ai Architect,excellent presentation skill including oral and written communication skill
IT.13.TML.01,Director Of Programs,excellent communication and teamwork skill
IT.01.AD.01,Senior Mobile Developer,strong written and verbal communication skill
IT.03.CS.02,Architect Customer Support Engineer Or Architect Customer Success Engineer,strong written and verbal communication skill
IT.03.CS.02,Architect Customer Support Engineer Or Architect Customer Success Engineer,strong analytical or troubleshooting skill
IT.01.AD.02,Mobility Architect,good written and verbal communication skill
IT.04.DMA.00,Dba Or Database Developer,excellent written and oral communication skill
IT.02.AIBI.02,Bi Architect Or Dw Architect,excellent written and verbal communication skill
IT.10.PDCS.04,Sme Cloud Or  Cloud Architect,good written and communication skill
IT.04.DMA.02,Sme Dba,
IT.14.UE.02,User Experience Architect,excellent written and oral communication skill
IT.09.PPM.02,Director Of Products,excellent analytical skill and creative problem solving skill
IT.09.PPM.02,Director Of Products,excellent written and verbal communication skill
